auteur,references
 M. Bershadsky,[9907200]
 S. Zhukov,[9907200]
Ivo Sachs,"[9907201, 9910015, 2061, 11254, 107173]"
S. B. Giddings,[9907204]
S. F. Ross,[9907204]
R. de Ritis (INFN,[9907207]
Dipartimento di Scienze Fisiche,[9907207]
 Universita` di,[9907207]
 Gia Dvali,"[9907209, 104201, 106001, 209227]"
Cosimo Stornaiolo,"[9907212, 209147]"
Nemani V. Suryanarayana,"[9907215, 9101, 11185, 104045, 208203, 304208]"
 Cesare Reina,[9907219]
Y. S. Kim (Univ. of Maryland),[9907220]
G.Roepstorff,"[9907221, 5079]"
E. E. Donets,"[9907224, 1194]"
 J. Juan Rosales,[9907224]
M. M. Tsulaia,[9907224]
 S P Corney,[9908002]
 I Tsohantjis,"[9908002, 12206]"
 V. Skalozub,"[9908003, 6089, 107027, 211260]"
Ivan Herger,[9908005]
Robert Boehm,[9908007]
 Holger Guenther,[9908007]
A. Tomasiello,"[9908009, 2210]"
 Heinz Dehnen,[9908015]
S. Ishihara,[9908017]
 H. Kataoka,[9908017]
Hikaru Sato,"[9908017, 203009]"
A. Schwarz (UCDavis,[9908019]
 IHES),"[9908019, 106048]"
Bert Schroer (CBPF Rio de Janeiro),"[9908021, 12021, 202085]"
 Dietmar Klemm,"[9908022, 9910065, 202073, 212096, 302218]"
T.S. Biró (KFKI Budapest),[9908031]
 S.G. Matinyan (Yerevan Phys. Inst.),[9908031]
Dmitri Antonov (ITEP,"[9908033, 9909156]"
 R.C. Trinchero,[9908034]
Valentin V. Khoze,"[9908035, 9911112, 6011, 10015, 11218, 11247, 105090, 301036, 302064]"
 Valentina B. Petkova and,[9908036]
A.Yu. Alekseev (Uppsala),[9908040]
 A. Recknagel (AEI Potsdam),[9908040]
Ken-Ichi Aoki (Kanazawa U.),"[9908042, 9908043]"
 Keiichi Morikawa (Kanazawa U.),"[9908042, 9908043]"
 Jun-Ichi,"[9908042, 9908043]"
H.S. Reall (DAMTP,[9908047]
A.Belavin,"[9908050, 208224]"
 Yu.Stroganov,[9908050]
Eli Hawkins,"[9908052, 302111]"
S.A. Pol'shin,[9908053]
S. Eremin,[9908054]
Wen-Fa Lu (Shanghai Jiao Tong University),[9908055]
 Zhi Yao,[9908059]
 De-Pin Zhao,[9908059]
De-Si Zang,[9908059]
S. Kalyana rama,[9908061]
Ken-Ichi Kubota (Kanazawa U.),[9908062]
 Haruhiko Terao (Kanazawa U.),[9908062]
Carlo Angelantonj (Ecole Polytechnique ,"[9908064, 9909003]"
Ecole Normale Superieure),"[9908064, 9909003, 207066]"
 S. Ogushi,"[9908066, 8130]"
 A. Sugamoto,[9908066]
M. Yamamoto,[9908066]
Michael Haack,"[9908067, 9912181, 11075, 102110, 103068, 203267]"
Dmitri Diakonov (NORDITA,"[9908069, 9007, 212187]"
Eanna E. Flanagan (Cornell),[9908070]
 Donald Marolf (Syracuse University),[9908070]
Ronald J. Adler,[9908073]
 David I. Santiago,[9908073]
 Y. Shamir,[9908074]
N. Tanimura (Kyushu Univ.),[9908081]
 Riccardo Rattazzi,"[9908085, 303116]"
Amir Mulic (Department of Physics,[9908086]
 University in Oslo),[9908086]
S. Ying (Fudan University),[9908087]
N.S.Deger,[9908089]
H. W. Lee,"[9908092, 9910083, 204083]"
 Y. S. Myung (Inje University),[9908092]
Reza Tavakol,[9908093]
George Ellis,[9908093]
V.G. Kac (MIT),[9908096]
A.V. Smilga (Univ. of Nantes),[9908096]
Sebastian Salamo,[9908098]
David Mattingly,"[9908099, 9052]"
I. Klich,"[9908101, 1019, 108053]"
Andrew P. Billyard (1),"[9908102, 9911086]"
 Alan A. Coley (1),[9908102]
 James E. Lidsey (2),[9908102]
 Ulf S.,[9908102]
E.G. Floratos (INP Demokritos,[9908106]
 Un. of Crete),[9908106]
 G.K. Leontaris (CERN,[9908106]
H.S. Reall,"[9908109, 10232]"
Wei-Min Zhang (NCKU,[9908117]
Bobby Eka Gunara,[9908118]
E. d'Emilio,[9908119]
 S. Micciche,[9908119]
Iván Schmidt,"[9908123, 104055]"
M. H. Sarmadi,[9908125]
 Lars Goerlich,"[9908130, 9912204, 2146, 3024, 7024, 10198, 211059]"
Boris Kors,"[9908130, 9912204, 2146, 103203]"
Nathan Salwen (Harvard Univ.),[9908131]
 Dean Lee (UMass Amherst),"[9908131, 9910103]"
Sergei A. Sharakin,"[9908132, 9908133, 9912127, 109151]"
John McGreevy,"[9908135, 9912151, 3075, 103223, 104010, 104100, 109069, 206196, 211009, 304224]"
M. Bertola,"[9908140, 3098, 303161]"
 J. Bros,"[9908140, 3098]"
 U. Moschella,"[9908140, 3098]"
 R. Schaeffer,"[9908140, 3098]"
T. Tada,[9908141]
Ulrike Feichtinger,[9908143]
John H.Schwarz,[9908144]
 A. Mann,"[9908149, 1019, 108053]"
M. Revzen,"[9908149, 1019, 108053]"
J.M. Pons,[9908151]
K. Ghoroku,[9908154]
K. Kaneko,[9908154]
 A. Kumar,[9908155]
L. M. Baker,[9908157]
 D. B. Fairlie,[9908157]
 Luigi Pilo,"[9908159, 7002]"
 A. Matusis,[9908160]
 L. Rastelli,[9908160]
 Vipul Periwal,"[9908166, 303111]"
Hong Zhang,"[9908168, 9910084, 112033]"
Mohab Abou-Zeid,"[9908169, 9909148, 1127, 9231, 104244]"
Martin Bojowald,"[9908170, 112074, 304252]"
"Stefano Kovacs (Universita` di Roma ""Tor Vergata"")",[9908171]
Boris Kastening (Universitaet Heidelberg),[9908172]
 H. Kröger,"[9908173, 9910141, 103027]"
N. Scheu,[9908173]
Tatiana A. Ivanova,"[9908177, 7049]"
 Alexander D. Popov,"[9908177, 9912154, 9144, 12200, 103196, 108118, 204155, 209186]"
 Yuri Stroganov,[9908178]
G.P.Pronko,[9908179]
Kost' Ilienko (Oxford),[9908180]
 Aleksandr Zheltukhin (Stockholm),[9908180]
Peter Mattsson,"[9908184, 8071, 111261]"
B. Pedrini,"[9908185, 2195]"
 J. Walcher,"[9908185, 3298, 7145, 7174, 11109, 103114, 110302, 212150]"
Yuri Shirman (Princeton),[9908186]
J.de Boer,"[9908187, 10036]"
 J.Evslin,[9908187]
Pietro Antonio Grassi (Max-Planck-Inst.,[9908188]
P. Marios Petropoulos (Ecole Polytechnique,"[9908189, 9909063]"
J.L. Boldo,"[9908190, 6173, 111065, 203158]"
 L.P. Colatto,[9908190]
E. Minguzzi,[9908191]
Bahniman Ghosh,"[9908192, 105051]"
Tsippy R. Mendelson,[9908194]
Richard C. Brower (Boston University),"[9908196, 210285]"
 Samir D. Mathur (MIT),[9908196]
 Chung-I,[9908196]
Xiang-Song Chen,[9908197]
 Wei-Min Sun,[9908197]
 Fan Wang,[9908197]
 Amand Faessler,[9908197]
S. Hellerman,[9908202]
Frank Tony Smith,[9908205]
George Chechelashvili,[9908206]
Simon Scott,[9908207]
Stephen Hewson,[9908209]
Ann E Nelson,[9909001]
K. Kanakoglou,[9909002]
Oliver Jahn (U Erlangen),[9909004]
 Daniel Zwanziger,[9909006]
Xin Liu,"[9909008, 304146]"
Josh Gray,[9909020]
 Daniel Brace,"[9909021, 3228]"
Heiyoung Shin,[9909025]
L. Tedesco (Universita' di Bari,[9909029]
G. Felder,"[9909030, 9909140]"
G. Takacs (Bologna U.),[9909031]
Victor M. Villanueva (Univ. Michoacan,[9909033]
 Jan Govaerts (Catholic,[9909033]
Milan Petras (Bratislava),[9909036]
Jutta Kunz (2) ((1) NUI Maynooth,"[9909037, 9909090, 9909160]"
 Ireland,"[9909037, 9909090, 9909160]"
J.Witters (University of Leuven,[9909038]
Department of Physics),[9909038]
 G.M. Shore,[9909043]
J.F. Bennett,[9909046]
J.F. Sanchez,[9909050]
 J. Ovalle,"[9909051, 5095, 101236]"
Hang Bae Kim,"[9909053, 1209]"
Hyung Do Kim,"[9909053, 102126, 204132]"
Veronika E. Hubeny,"[9909056, 5288, 9051, 202189, 205258, 208047, 211195, 211206]"
Marcos Rigol,"[9909057, 109012]"
Hajime Aoki,"[9909060, 9910262, 209137, 209223]"
 Satoshi Iso,"[9909060, 9910004, 9910262, 102168, 209137, 209223]"
 Hikaru Kawai,"[9909060, 9910004, 9910262, 1027, 102168, 106063, 204078]"
 David Wands,[9909061]
 P. Grinza,"[9909065, 203063]"
Gavin Johnstone (Durham University),[9909067]
John Ellis (CERN),"[9909068, 12216, 108094]"
 N.E. Mavromatos (Oxford),[9909068]
 Motoi Tachibana,"[9909076, 304051]"
 Kazunori Takenaga,"[9909076, 111183]"
D. Diakonov (NORDITA,[9909078]
 Pnpi Gatchina),[9909078]
 M. Maul (NORDITA,[9909078]
 Lund U),[9909078]
Davoud Kamani,"[9909079, 9910043, 8020, 10019, 102141, 104089, 107184, 110019, 112153, 205189, 207055, 210253, 212088, 301003, 304236]"
L. Cornalba (I.H.E.S.),"[9909081, 9912293]"
Sergei V. Khudyakov,[9909084]
 P. Sutton,"[9909086, 12048]"
Takao Suyama,"[9909091, 9912261, 6052, 8242, 11039, 101002, 102192, 106079, 107116, 112101, 206171, 210054, 302010]"
 B. Dimitrov,[9909092]
Xavier Bekaert,"[9909094, 9911109, 9912077, 3170, 4049, 10266, 104048, 111215, 208058, 209169, 210278, 212099, 212131, 301243]"
Jan Gutowski,[9909096]
Karin Bautier,"[9909097, 9910134]"
Chris M. Hull,"[9909098, 9911082]"
Jan B. Thomassen (TU Wien),[9909100]
J. Suzuki (Shizuoka University),"[9909104, 9910215]"
Seoktae Koh,[9909106]
Sang Jin Sin,[9909106]
 Nikita A. Nekrasov,"[9909109, 9912019, 5204, 7204, 10090, 302191]"
Alberto Garcia,[9909111]
L. R. Huiszoon,[9909114]
 N. Sousa,"[9909114, 9911229, 9100]"
A. L. Cotrone,[9909116]
H.S. Blas Achic,[9909118]
L. A. Ferreira,"[9909118, 12176, 210154]"
Mitsuaki Fukae,[9909122]
 Sung-Kil Yang,[9909122]
Romuald A. Janik (Saclay ,[9909124]
Yuji Okawa (Osaka University),[9909132]
D. Blaschke,"[9909133, 6249, 110003, 206246]"
O. DeWolfe,[9909134]
A. Karch,[9909134]
K.G.Selivanov (ITEP,[9909136]
M.Alves (UFRJ - Brazil),[9909138]
" J. Fr""ohlich",[9909140]
Klaus Bering,[9909141]
 Joel S. Rozowsky,[9909141]
J. -Q. Liang,[9909142]
 H. J. W. Müller-Kirsten,"[9909142, 9910151, 9910166, 5207, 8215, 8224, 11116, 107156, 210306, 302145]"
 Y. -B. Zhang,[9909142]
 A. V.,[9909142]
Max Zucker (Bonn U.),[9909144]
Gastón Giribet,[9909149]
 Germar Schroeder,[9909150]
P. Bain,"[9909154, 3185, 12211, 112145, 205073]"
S.L. Dubovsky,"[9909155, 1186, 6046, 105243, 201025]"
 D.S. Gorbunov,[9909155]
Dietmar Ebert (CERN,[9909156]
 Geneva and,[9909156]
Germar Schroeder,[9909157]
Kazuhiko Nishijima,"[9909158, 9909159]"
L. Sandoval Jr,"[9909161, 9909162]"
T. Matsuki (Tokyo Kasei U.),[9909165]
 M. Shiotani (Kobe U.),[9909165]
H. Ita,[9909166]
 T. Pisar,"[9909166, 2167, 3222, 111258]"
 D. Kamani,[9909167]
C. J. Houghton,[9909168]
 N. S. Manton,"[9909168, 1155]"
 N. M. Romão (DAMTP,[9909168]
C. Bachas (ENS),[9909171]
 L.E.Ibanez,[9909172]
M. Perkins,[9909174]
 R. Portugal,[9909175]
N. Ishibashi (KEK),"[9909176, 107103]"
Sergei V. Ketov (YITP,[9909177]
 U. of Hannover),[9909177]
M. C. Daflon Barrozo (DAMTP,[9909178]
L. V. Laperashvili (ITEP,"[9909181, 109023, 110127, 211224, 211227, 212213]"
 H. B. Nielsen (NBI,"[9909181, 10260, 105275, 109023, 211224, 212213]"
Axel Krause (Humboldt U.,"[9909182, 6226, 7233]"
I.B. Samsonov,"[9909183, 109130, 110203]"
Anton Galajinsky (INFN,[9909190]
 Frascati),[9909190]
 R. Suter,[9909191]
 T. Jonsson,"[9909195, 11139]"
Thomas Dent (University of Sussex),"[9909198, 6101]"
M. Morara,[9909200]
Gaetano Bertoldi,"[9909201, 202090, 210048]"
 S.W. Hawking,[9909205]
 H.S. Reall,"[9909205, 3052, 12076]"
F.J. Turrubiates,"[9909206, 2212]"
Valery N. Marachevsky,[9909210]
Nikita A. Nekrasov,"[9909213, 9911096, 10017, 11095, 203109, 203112, 206161]"
 Ingo Runkel,"[9909216, 204148, 301181, 302200]"
Adel Bilal (Neuchatel University),[9909220]
Bernadette Deschepper (Catholic Univ. Louvain,[9909221]
I. M. Krichever (Columbia University,[9909224]
Hyun-Soo Min,[9910002]
H.Kanno,[9910003]
Y.Yasui,[9910003]
Shigefumi Naka,[9910005]
 Shinji Abe,[9910005]
 Eizou Umezawa,[9910005]
 Tetsu Matsufuji,[9910005]
Raja Q. Almukahhal,[9910007]
R. Acharya,"[9910008, 9910009, 9910051, 10157]"
P. Narayana Swamy,"[9910008, 9910009, 10157]"
SDLCQ Collaboration: F. Antonuccio,[9910012]
 I. Filippov,[9910012]
 P. Haney,[9910012]
 Liat Maoz,[9910013]
 Adam Schwimmer,[9910013]
William Weir,[9910015]
Stefano Kovacs (Universita` di Roma “Tor,[9910016]
Ernesto Lozano-Tellechea,"[9910020, 12051, 206200]"
Tomas Ortin (IFT-UAM/CSIC),"[9910020, 12051]"
J. Boguszynski (1),[9910024]
 H. D. Dahmen (2),[9910024]
 R. Kretschmer (2),[9910024]
 L. Lukaszuk,[9910024]
Thomas Mehen,"[9910025, 6236]"
 Iain W. Stewart,[9910025]
 Mark B. Wise,[9910025]
D.Controzzi,[9910026]
A.M.Tsvelik,[9910026]
F. R. Machado,"[9910027, 8246, 208121, 210125]"
Hiromichi Nakazato (Waseda Univ.),[9910032]
 N.S. Manton,"[9910033, 208001]"
Norman Dombey (Univ.Sussex),[9910034]
T. Harmark (NBI,"[9910036, 9911169, 2250, 5021]"
Adel M. Awad,"[9910040, 6037, 8211, 11092]"
M.Yu. Kuchiev,[9910044]
G. Gabadadze,[9910050]
 Hwang-h. Kwon,[9910055]
Daniele Binosi,"[9910057, 11113]"
Nicola Grillo,"[9910060, 9911118, 9912097, 9912114, 9912128]"
Nathan.F.Lepora,[9910061]
Georgios Metikas,[9910063]
 G. Dall'Agata,"[9910066, 9912107, 2199, 207117, 211118]"
C.D.Fosco (Centro At'omico Bariloche),[9910068]
 N.F.Svaiter (Centro Brasileiro,[9910068]
 S.P.Sorella,"[9910069, 4048, 11001]"
 A.Tanzini,"[9910069, 2110, 4048, 11001]"
 O.S.Ventura,"[9910069, 4048, 11001]"
 L.C.Q.Villar,[9910069]
A. Rida (USTHB,[9910070]
 Alger,[9910070]
 Algeria.),[9910070]
 T. Sami (SUBATECH,[9910070]
 Ecole des Mines,[9910070]
 A. Losev,"[9910071, 106042]"
Juan Mateu,[9910072]
J. Karkowski (1),[9910078]
 Z. Swierczynski (2) ((1)Institute of Physics,[9910078]
I. L. Shapiro,"[9910080, 9912040]"
 J. Cline,[9910081]
G. Servant,"[9910081, 9089]"
Andrey Dubin,"[9910088, 9910264]"
Matt Visser (Washington University),[9910093]
 Kenji Ito,[9910095]
 Masashi Naganuma,"[9910095, 4188, 12182, 211103, 212175, 302028]"
A. W. Peet,[9910098]
L.V. Laperashvili (ITEP,[9910101]
 H.B. Nielsen (NBI,[9910101]
Nathan Salwen (Harvard U.),[9910103]
Ying Jiang,"[9910104, 9910239]"
 Yishi Duan,"[9910104, 9910239]"
Makoto Natsuume (1),[9910105]
 Takashi Okamura (2),"[9910105, 210194, 212320]"
Masamichi Sato (3) ((1),[9910105]
T. Guhr,[9910107]
 T. Wilke,[9910107]
H.A. Weidenmueller,[9910107]
Dipankar Chakrabarti,"[9910108, 107188, 110156, 211145]"
 Asmita Mukherjee,"[9910108, 4192, 4193]"
 Rajen Kundu,[9910108]
 A.Harindranath,[9910108]
M. R. Gaberdiel,[9910109]
 B. Stefanski Jr,"[9910109, 105238, 110041]"
Seiji Takemae,"[9910110, 106161]"
Mihail Mihailescu,"[9910111, 9910249, 2002]"
B. Pioline (Harvard,"[9910115, 5160, 6103, 11130]"
Teparksorn Pengpan (U. of Florida),[9910119]
G.Sh.Japaridze,[9910120]
 K.Sh.Turashvili,[9910120]
Jeongwon Ho,"[9910124, 9910158, 5250]"
L. R. U. Manssur,[9910127]
V.V.Mkhitaryan,[9910128]
 R.H.Poghossian,[9910128]
 T.A.Sedrakyan,[9910128]
A. P. Balachandran (1),[9910129]
S. Vaidya (2) ((1) Syracuse University,[9910129]
Gh. Zet,[9910130]
M. C. Neacsu,[9910130]
Kazumi Okuyama (KEK),"[9910138, 9215, 10028, 101177, 107101]"
B. Carazza,[9910140]
H. Jirari,"[9910141, 103027]"
 K.J.M. Moriarty,[9910141]
S.G. Rubin,[9910141]
Amine B. Hammou (SISSA,[9910144]
Trieste,[9910144]
Italy),[9910144]
 Jose F. Morales (INFN,[9910144]
Sezione,"[9910144, 6176]"
 J. -Q. Liang,[9910151]
Tsunehiro Kobayashi,"[9910152, 10039]"
Victor T. Kim (PNPI,"[9910157, 11272]"
 St.Petersburg ,"[9910157, 11272]"
IITAP,[9910157]
 Ames),[9910157]
 Victor A. Matveev,"[9910157, 11272]"
Aleksandr Zheltukhin,[9910159]
Marek Olechowski,"[9910161, 3233, 9122, 106203]"
 J. Barcelos-Neto,"[9910162, 6061, 202169, 207239]"
Luis A. Cabral,[9910163]
Sergei V. Bashinsky (MIT,[9910165]
 LNS),[9910165]
 J.Q. Liang,[9910166]
I. Nandori,"[9910167, 12208, 202113]"
G. de Berredo-Peixoto,"[9910168, 101158, 108223]"
 I.L. Shapiro,[9910168]
C. Cartier,"[9910169, 301198]"
 E.J. Copeland,[9910169]
R. Madden,[9910169]
 Christian Romelsberger,"[9910172, 203272]"
Robert L. Karp,"[9910173, 2085, 209161, 211121]"
 Freydoon Mansouri,[9910173]
 Jung S. Rno,[9910173]
A. Kehagias (NTU of Athens),[9910174]
 E. Kiritsis (U. of Crete),[9910174]
Allen C. Hirshfeld (University of Dortmund),"[9910178, 1026]"
 Thomas Schwarzweller,"[9910178, 1026]"
 Dmitry Gitman,[9910180]
 Y. Chen,[9910183]
 E. Novak,[9910183]
Bin Wang,"[9910185, 9911005, 9911157, 3295, 5043, 101073, 106086, 107243, 109024, 208023, 301072]"
Nistor Nicolaevici,"[9910186, 9910257]"
Petr Jizba,"[9910187, 9910259, 108177]"
S.P. Kim,[9910189]
Jan Govaerts (Catholic Univ. Louvain,"[9910191, 7112]"
K.P. Yogendran,"[9910194, 110172]"
Hiroyuki Yamashita,"[9910200, 102150]"
Raman Sundrum,"[9910202, 108025, 209050]"
S. Nagy,"[9910203, 12207]"
 P. Furlan,[9910206]
 L.K. Hadjiivanov,"[9910206, 3210, 211154]"
 P.N.,[9910206]
 J.M. Moreno,"[9910208, 102033, 106243]"
C.J. Houghton,[9910212]
K.B. Alkalaev,"[9910214, 107040, 206068, 210222]"
S.L. Lyakhovich (Tomsk State University,[9910214]
T. Dasgupta,[9910217]
 Cedric Deffayet,[9910219]
 Ulrich Ellwanger (LPTHE,[9910219]
E.Deotto,"[9910220, 12177, 101124, 204108]"
 G.Furlan,"[9910220, 204108]"
 E.Gozzi,"[9910220, 12177, 101124, 204108]"
Manfried Faber,"[9910221, 207167]"
O. Lunin,[9910222]
Heinrich Saller (MPI fuer Physik,[9910223]
 Werner-Heisenberg-Institut,[9910223]
S.Odake,[9910226]
V.A. Dolgushev,"[9910227, 101032, 206039]"
 Jose' F. Morales,[9910228]
Gianfranco Pradisi (Dipartimento,[9910228]
Marek Rogatko (Technical Un. of Lublin),[9910231]
R. Loll (Albert-Einstein-Institut,"[9910232, 11194]"
 MPI),[9910232]
 J. Ambjorn (Niels Bohr,[9910232]
Alexei A. Abrikosov,"[9910234, 111084]"
Jose A. Magpantay (National Institute of Physics,"[9910240, 110038, 203178]"
 U.P. Diliman Q.C.,[9910240]
M. P. Infante,[9910242]
 Rudolf Haag,[9910243]
Philip C. Argyres (Cornell,[9910250]
 ITP Santa Barbara),[9910250]
 Ken Intriligator (UC,[9910250]
F. Göhmann,"[9910253, 201142]"
V. E. Korepin (YITP,[9910253]
 State University of New York at,[9910253]
 T. Matsuo,"[9910263, 5283, 10066, 204240]"
Alexander Maloney,"[9911001, 205316, 302146]"
 Marcus Spradlin,"[9911001, 103256, 206221, 210102, 211198, 211220]"
 J.L.F.Barbon,[9911004]
 I.I.Kogan,[9911004]
Auttakit Chattaraputi,"[9911007, 207238, 212085]"
W. A. Perkins (PACS),[9911009]
Konstantin G. Zloshchastiev,"[9911012, 9911013, 9912063, 9912064, 6002, 8004, 101075, 102127]"
Ion I. Cotăescu,"[9911014, 101163, 102083, 105201, 107205, 202034, 301108]"
N.Mebarki,[9911017]
 A.Taleb,[9911017]
 H.Aissaoui,[9911017]
 N.Belaloui,[9911017]
 M.Haouchine (Département,[9911017]
Maxim Zabzine (Stockholm U.),"[9911018, 4061]"
 Michael Plumacher,[9911021]
Jing Wang,"[9911021, 9912187, 6191, 10091, 303208]"
 S.G. Naculich,"[9911022, 9912133]"
 H.J. Schnitzer,"[9911022, 9912133]"
M. Lazar,[9911024]
A. G. Abanov,"[9911025, 105213]"
 P. B. Wiegmann,[9911025]
 Takeo Moroi,"[9911029, 3282]"
V. Terras,[9911030]
 H.W. Lee (Inje University),"[9911031, 9911193, 9912288, 1107, 1211]"
N. Mankoc Borstnik (Univ. of Ljubljana),[9911032]
 H. B. Nielsen (Niels Bohr,[9911032]
Harald G. Svendsen,[9911038]
 Y.M. Makeenko,"[9911041, 2158, 4147, 12092]"
 J. Nishimura,"[9911041, 2158, 4147, 6154, 12061]"
 R.J. Szabo (NBI),[9911041]
S. Ansoldi,"[9911051, 4044, 5132, 11013, 101070, 105027, 201018]"
 A. Aurilia,"[9911051, 4044, 105027]"
 A. Smailagic,[9911051]
 E. Spallucci,"[9911051, 9911089, 3293, 4044, 5132, 8094, 101070, 105027]"
Petre Dita,"[9911054, 211273]"
Takahiro Tanaka,"[9911055, 1092, 4109, 110286, 111277, 112028, 205041, 207140]"
Robert P. T. Talbot,[9911058]
A. DeBenedictis,[9911060]
 K. S. Viswanathan,"[9911060, 4114, 101207, 109032]"
Makoto Natsuume (KEK),"[9911062, 5002, 111044]"
Takashi Okamura (Ochanomizu University),[9911062]
G. Pinter,"[9911063, 12057]"
S. Parsons,"[9911064, 9912105]"
 Anastasia,[9911066]
Sukanta Bose (Cardiff Univ.),"[9911069, 9911070]"
 Naresh Dadhich (IUCAA),[9911069]
Thant Zin Naing (Yangon Univ.),[9911070]
V. Soni (NPL,"[9911074, 204177]"
 New Delhi),"[9911074, 204177]"
C. Sochichiu,"[9911075, 4062, 7217]"
S. Khakshournia,[9911076]
R. Mansouri,"[9911076, 104160, 201213, 210252, 301228]"
German Sierra (CSIC-Spain),[9911078]
A.,[9911081]
 Alan A. Coley (2),[9911086]
James E. Lidsey (3),[9911086]
 T.R.Govindarajan,[9911087]
J.K. Erickson,"[9911088, 3055]"
 R.J. Szabo,"[9911088, 107115, 303082]"
Diego J. Navarro,[9911091]
 Jose Navarro-Salas,[9911091]
Pedro Navarro,[9911091]
M. Grigoriev,"[9911092, 201139]"
Nick Dorey,"[9911094, 1103, 10015, 10115, 11202, 11247, 105090, 108221, 205151, 206063, 209089, 209099, 210239]"
E.T. Akhmedov,"[9911095, 5105, 202027]"
Kenichi Konishi (University of Pisa),[9911097]
 Kazunori Takenaga (INFN,[9911097]
 A. Chamblin,"[9911101, 12076, 104046]"
H. van Dam (University of North Carolina),"[9911102, 211002]"
J. T. Lunardi,"[9911103, 9911254, 8098]"
 L. A. Manzoni,"[9911103, 8098]"
Soonkeon Nam (Harvard,"[9911104, 9911237]"
Kyung Hee Univ.),"[9911104, 9911237]"
Amitabha Lahiri (S.N.Bose National Centre for Basic Sciences),[9911107]
B. Ponsot,"[9911110, 112198]"
 J. Teschner,"[9911110, 112198]"
Sunggeun Lee,"[9911117, 104232]"
 N. Grandi,"[9911119, 104264]"
 G. Silva,[9911119]
A.M.Gavrilik (BITP,[9911120]
V. Dmitrasinovic,"[9911121, 201064, 210082]"
M. Leo,[9911122]
 R.A. Leo,[9911122]
P. Tempesta,[9911122]
 N. Weiss,[9911123]
J. Rant,[9911127]
Peter C. Stichel,[9911128]
 Yong Zhang,"[9911132, 1007]"
Zhongyuan Zhu,"[9911132, 1007]"
Lorenzo Leal (Universidad Central de Venezuela),"[9911133, 8049]"
F. Bastianelli,"[9911135, 1041, 7105, 7222, 8045]"
 S. Frolov,"[9911135, 1041, 3116, 5182, 10137, 12080]"
S. R. Das,"[9911137, 8203, 11131]"
S. P. Trivedi,"[9911137, 11131, 205108]"
Muneto Nitta (Osaka Univ.),"[9911139, 9911225, 104184, 107100, 108084]"
 S. O. Saliu,"[9911141, 9911143, 9911144, 9912197, 9912198, 9912199, 9912200, 9912201, 3191, 3192, 3193, 4046, 4047, 8022, 102116, 102118, 105234, 106118, 201073, 201154, 206186, 209109, 211158, 302037, 303079]"
M. Rooman,"[9911142, 8147]"
 E. N. Tîmneanu,[9911144]
 M. Engelhardt,[9911145]
 K. Langfeld,[9911145]
" A. Sch""afke",[9911145]
D. Kamani,[9911146]
J. Kunz,[9911148]
P.B. Medvedev,"[9911149, 107197]"
C. Valenzuela,[9911151]
Marcelo Hott (UNESP / Campus de Guaratingueta),[9911155]
 Bernard Julia,"[9911158, 103094, 203070, 303075, 303178]"
 Domenico Seminara,"[9911158, 105081, 203103]"
Mario Trigiante,"[9911158, 112059]"
G.N.J.Añaños,[9911159]
 N.F.Svaiter (CBPF),[9911159]
 Amanda W. Peet,"[9911161, 8076, 105077, 204103, 303035]"
A.A. Kirillov,"[9911168, 12245]"
 A. Loewy,"[9911172, 8141, 103163]"
Eloy Ayón-Beato,[9911174]
Alberto García,[9911174]
H. R. Christiansen,"[9911177, 11293]"
 A. C. Petkou,"[9911177, 2025, 2154, 5256, 101076, 103230, 104141, 205280, 206020, 209224]"
W. A. Sabra (CAMS,"[9911180, 3041, 3213]"
Dan N. Vollick,"[9911181, 4064, 5033, 102187, 205207]"
Asad Naqvi,"[9911182, 206180, 303065, 303157]"
S. Miyagi,[9911184]
Mark Walton,[9911187]
Juan Mendez,[9911188]
Carlo Angelantonj,"[9911190, 6033]"
Musongela Lubo,[9911191]
 Gungwon Kang,"[9911193, 9912288, 1107, 209181]"
Axel Krause,"[9911197, 108220, 201260, 204206, 205310, 212339]"
Axel Weber,[9911198]
Jnanadeva Maharana (Bhubaneswar,[9911200]
César Gómez,"[9911202, 9911215]"
 M. Milekovic,[9911204]
R. Ristic,[9911204]
 Jimmy D. Williams,[9911207]
A.R.Lugo,[9911209]
G. Heinrich,[9911211]
 G. Leibbrandt,[9911211]
Takuya Masuda,"[9911212, 10009]"
T. Quella,[9911213]
M.Caselle,"[9911216, 1181, 103263]"
M.Hasenbusch,[9911216]
B. M. Pimentel (Sao Paulo,"[9911219, 3283]"
Tohru Eguchi (Univ. of Tokyo,[9911220]
 Phys. Dept.),[9911220]
 Masao Jinzenji (Univ. of,[9911220]
A. Niegawa,[9911224]
H. Ozaki,[9911224]
 Noriaki Sato,[9911228]
 Yukiya Uchida,[9911228]
L.R. Huiszoon,"[9911229, 4100, 110267, 212244]"
Saurya Das (CGPG,[9911230]
 Penn State University),[9911230]
Peter van Niewenhuizen (YITP Stony,[9911238]
Christian Fronsdal (UCLA),[9911241]
Yutaro Taira (Chiba University),[9911242]
Paul Haney,[9911243]
 John R. Hiller,"[9911243, 11106]"
 Stephen Pinsky,"[9911243, 5282]"
 Uwe Trittmann,[9911243]
A. A. Tseytlin,[9911246]
I.B. Pestov,[9911247]
 A D'Adda,[9911249]
Michael L. Schmid,[9911250]
 J. Russo,[9911253]
